matchId,videoTimestamp,postShotXg,xg,videoPath
5228091,4241.356215,0.2307,0.0555,
5228091,5649.835116,0.9232,0.5805,
5228092,1395.046373,0.5679,0.09266,
5228092,2502.209327,0.81,0.76,
5228093,1811.257653,0.4181,0.3319,
5228093,5413.706074,0.81,0.76,
5228094,2364.098073,0.7898,0.2227,
5228095,370.51124,0.3985,0.1135,
5228095,3064.709104,0.7485,0.2502,
5228095,5156.042589,0.2439,0.09993,
5228096,1058.474649,0.1821,0.08345,
5228096,3456.052634,0.3343,0.04577,
5228096,4460.812626,0.7988,0.7481,
5228096,4542.286794,0.5819,0.1282,
5228097,3659.951335,0.81,0.76,
5228097,3882.904164,0.7955,0.6628,
5228097,4905.113497,0.5283,0.2915,
5228097,6460.362666,0.6623,0.1947,
5228098,1150.181768,0.9331,0.6344,
5228098,2822.995874,0.8165,0.6433,
5228098,3919.783956,0.9205,0.6508,
5228098,4598.209219,0.2525,0.0234,
5228099,66.489909,0.7411,0.4879,
5228099,703.878207,0.5724,0.428,
5228099,4045.938608,0.1991,0.06885,
5228100,1151.337226,0.09431,0.1234,
5228100,1774.070844,0.4707,0.09664,
5228100,1898.524262,0.7862,0.7037,
5228100,2994.053316,0.7778,0.3598,
5228100,3614.145405,0.6906,0.1133,
5228100,3773.644383,0.307,0.09727,
5228100,4788.921152,0.4656,0.1215,
5228102,836.796416,0.6149,0.5285,
5228103,1800.245447,0.7859,0.4419,
5228103,4675.742568,0.3759,0.2607,
5228104,2300.443258,0.8786,0.8932,
5228104,2734.232983,0.8476,0.7525,
5228105,5078.530521,0.0249,0.03349,
5228106,3593.076769,0.81,0.76,
5228106,4513.462345,0.2878,0.2403,
5228106,5420.568505,0.9275,0.7434,
5228107,1139.441797,0.6965,0.1421,
5228107,2938.530932,0.6765,0.1405,
5228107,4469.516121,0.761,0.1689,
5228107,4720.445888,0.09292,0.1515,
5228108,5379.137618,0.4093,0.04822,
5228109,2099.963153,0.7456,0.1667,
5228109,5732.468339,0.5758,0.1043,
5228110,809.008668,0.6226,0.2015,
5228110,3292.066834,0.03314,0.1008,
5228110,3521.282466,0.5232,0.3181,
5228111,1948.230306,0.673,0.2196,
5228111,2982.2561,0.04295,0.05363,
5228111,5127.605181,0.4457,0.1002,
5228111,5449.674561,0.8683,0.7605,
5228112,2984.623708,0.2919,0.08917,
5228112,4239.257351,0.3819,0.1542,
5228112,5174.708505,0.1675,0.2471,
5228113,1032.232209,0.3241,0.2219,
5228113,3173.689452,0.7139,0.2238,
5228113,5578.926575,0.6354,0.4662,
5228114,328.126409,0.5601,0.4469,
5228114,2197.790581,0.6072,0.6296,
5228114,3573.031935,0.4472,0.2528,
5228114,3807.622894,0.4892,0.455,
5228114,3968.991731,0.4062,0.2667,
5228114,4353.326288,0.1929,0.06729,
5228114,4904.20975,0.766,0.286,
5228115,479.094149,0.3981,0.1043,
5228115,4022.9131,0.306,0.3594,
5228116,4472.581128,0.8778,0.4712,
5228116,5208.046067,0.6484,0.1398,
5228116,5771.609615,0.5761,0.112,
5228117,4460.165264,0.522,0.1013,
5228118,2255.038746,0.5439,0.1963,
5228118,3495.484635,0.793,0.2352,
5228119,509.74435,0.2743,0.04418,
5228119,3184.050104,0.3568,0.05062,
5228120,2905.24643,0.5284,0.1512,
5228120,3045.398542,0.06135,0.09754,
5228120,3185.775335,0.8455,0.5841,
5228120,4602.044646,0.5015,0.08833,
5228120,5201.499486,0.4465,0.4819,
5228121,1240.94923,0.2487,0.1622,
5228121,3984.351981,0.3244,0.3153,
5228121,4538.010869,0.1377,0.1083,
5228122,172.769818,0.3149,0.07062,
5228122,3644.022395,0.6487,0.2702,
5228122,4751.692636,0.3776,0.1083,
5228122,5611.084504,0.1361,0.1605,
5228123,4009.915197,0.04229,0.04627,
5228124,1649.453407,0.559,0.08583,
5228124,5712.712633,0.6439,0.2682,
5228125,49.197895,0.2132,0.1883,
5228125,754.702022,0.8355,0.6512,
5228125,1718.934815,0.02781,0.0216,
5228126,3374.522422,0.8775,0.7353,
5228126,4813.036618,0.2688,0.05759,
5228126,5049.211774,0.7063,0.1115,
5228126,5432.440053,0.1086,0.1132,
5228127,737.18052,0.7706,0.23,
5228127,1599.558971,0.2971,0.06762,
5228127,2163.862929,0.2448,0.07407,
5228127,2444.49172,0.8731,0.8084,
5228127,4169.035767,0.4819,0.3914,
5228127,4821.956929,0.81,0.76,
5228128,4733.584488,0.8392,0.5483,
5228129,247.267608,0.5554,0.1644,
5228129,3605.572703,0.7618,0.1656,
5228129,5112.171384,0.3239,0.14,
5228130,1893.289908,0.4159,0.05256,
5228130,2322.642167,0.6162,0.196,
5228130,3449.088987,0.8691,0.8528,
5228130,4896.701566,0.6021,0.1238,
5228130,5103.308081,0.2204,0.1979,
5228131,45.718283,0.5496,0.1371,
5228131,5890.392257,0.6757,0.3107,
5228132,2291.338153,0.3794,0.1336,
5228132,3594.161152,0.81,0.76,
5228133,1113.343233,0.4014,0.1563,
5228133,2169.193377,0.761,0.2536,
5228133,3137.969318,0.2624,0.2482,
