matchId,videoTimestamp,postShotXg,xg,videoPath
5228091,4241,0.2307,0.0555,video/competition-198/season-187389/match-5228091/goal-s4228-e4275.mp4
5228091,5649,0.9232,0.5805,video/competition-198/season-187389/match-5228091/goal-s5637-e5684.mp4
5228092,1395,0.5679,0.09266,video/competition-198/season-187389/match-5228092/goal-s1382-e1429.mp4
5228092,2502,0.81,0.76,video/competition-198/season-187389/match-5228092/goal-s2489-e2536.mp4
5228093,1811,0.4181,0.3319,video/competition-198/season-187389/match-5228093/goal-s1798-e1845.mp4
5228093,5413,0.81,0.76,video/competition-198/season-187389/match-5228093/goal-s5401-e5448.mp4
5228094,2364,0.7898,0.2227,video/competition-198/season-187389/match-5228094/goal-s2351-e2398.mp4
5228095,370,0.3985,0.1135,video/competition-198/season-187389/match-5228095/goal-s358-e405.mp4
5228095,3064,0.7485,0.2502,video/competition-198/season-187389/match-5228095/goal-s3052-e3099.mp4
5228095,5156,0.2439,0.09993,video/competition-198/season-187389/match-5228095/goal-s5143-e5190.mp4
5228096,1058,0.1821,0.08345,video/competition-198/season-187389/match-5228096/goal-s1045-e1092.mp4
5228096,3456,0.3343,0.04577,video/competition-198/season-187389/match-5228096/goal-s3443-e3490.mp4
5228096,4460,0.7988,0.7481,video/competition-198/season-187389/match-5228096/goal-s4448-e4495.mp4
5228096,4542,0.5819,0.1282,video/competition-198/season-187389/match-5228096/goal-s4529-e4576.mp4
5228097,3659,0.81,0.76,video/competition-198/season-187389/match-5228097/goal-s3647-e3694.mp4
5228097,3882,0.7955,0.6628,video/competition-198/season-187389/match-5228097/goal-s3870-e3917.mp4
5228097,4905,0.5283,0.2915,video/competition-198/season-187389/match-5228097/goal-s4892-e4939.mp4
5228097,6460,0.6623,0.1947,video/competition-198/season-187389/match-5228097/goal-s6447-e6494.mp4
5228098,1150,0.9331,0.6344,video/competition-198/season-187389/match-5228098/goal-s1137-e1184.mp4
5228098,2822,0.8165,0.6433,video/competition-198/season-187389/match-5228098/goal-s2810-e2857.mp4
5228098,3919,0.9205,0.6508,video/competition-198/season-187389/match-5228098/goal-s3907-e3954.mp4
5228098,4598,0.2525,0.0234,video/competition-198/season-187389/match-5228098/goal-s4585-e4632.mp4
5228099,66,0.7411,0.4879,video/competition-198/season-187389/match-5228099/goal-s53-e100.mp4
5228099,703,0.5724,0.428,video/competition-198/season-187389/match-5228099/goal-s691-e738.mp4
5228099,4045,0.1991,0.06885,video/competition-198/season-187389/match-5228099/goal-s4033-e4080.mp4
5228100,1151,0.09431,0.1234,video/competition-198/season-187389/match-5228100/goal-s1138-e1185.mp4
5228100,1774,0.4707,0.09664,video/competition-198/season-187389/match-5228100/goal-s1761-e1808.mp4
5228100,1898,0.7862,0.7037,video/competition-198/season-187389/match-5228100/goal-s1886-e1933.mp4
5228100,2994,0.7778,0.3598,video/competition-198/season-187389/match-5228100/goal-s2981-e3028.mp4
5228100,3614,0.6906,0.1133,video/competition-198/season-187389/match-5228100/goal-s3601-e3648.mp4
5228100,3773,0.307,0.09727,video/competition-198/season-187389/match-5228100/goal-s3761-e3808.mp4
5228100,4788,0.4656,0.1215,video/competition-198/season-187389/match-5228100/goal-s4776-e4823.mp4
5228102,836,0.6149,0.5285,video/competition-198/season-187389/match-5228102/goal-s824-e871.mp4
5228103,1800,0.7859,0.4419,video/competition-198/season-187389/match-5228103/goal-s1787-e1834.mp4
5228103,4675,0.3759,0.2607,video/competition-198/season-187389/match-5228103/goal-s4663-e4710.mp4
5228104,2300,0.8786,0.8932,video/competition-198/season-187389/match-5228104/goal-s2287-e2334.mp4
5228104,2734,0.8476,0.7525,video/competition-198/season-187389/match-5228104/goal-s2721-e2768.mp4
5228105,5078,0.0249,0.03349,video/competition-198/season-187389/match-5228105/goal-s5066-e5113.mp4
5228106,3593,0.81,0.76,video/competition-198/season-187389/match-5228106/goal-s3580-e3627.mp4
5228106,4513,0.2878,0.2403,video/competition-198/season-187389/match-5228106/goal-s4500-e4547.mp4
5228106,5420,0.9275,0.7434,video/competition-198/season-187389/match-5228106/goal-s5408-e5455.mp4
5228107,1139,0.6965,0.1421,video/competition-198/season-187389/match-5228107/goal-s1126-e1173.mp4
5228107,2938,0.6765,0.1405,video/competition-198/season-187389/match-5228107/goal-s2926-e2973.mp4
5228107,4469,0.761,0.1689,video/competition-198/season-187389/match-5228107/goal-s4457-e4504.mp4
5228107,4720,0.09292,0.1515,video/competition-198/season-187389/match-5228107/goal-s4707-e4754.mp4
5228108,5379,0.4093,0.04822,video/competition-198/season-187389/match-5228108/goal-s5366-e5413.mp4
5228109,2099,0.7456,0.1667,video/competition-198/season-187389/match-5228109/goal-s2087-e2134.mp4
5228109,5732,0.5758,0.1043,video/competition-198/season-187389/match-5228109/goal-s5719-e5766.mp4
